year,name,amount,amount-2
1,Blue WeSave定息儲蓄保S2,25500,25500
1,Welllink 喜盈於「息」特級儲蓄保障計劃,24030,24030
1,ChinaLife 五年期精英儲蓄保險計劃,22799,22799
1,BOC Life 目標三年網上短期儲蓄保險計劃,20564,20564
1,Tahoe 目標三年網上短期儲蓄保險計劃,10429,10429
1,Tahoe 月月豐收 2,0,0
2,Blue WeSave定息儲蓄保S2,26010,26010
2,Welllink 喜盈於「息」特級儲蓄保障計劃,24633,24633
2,ChinaLife 五年期精英儲蓄保險計劃,23017,23017
2,BOC Life 目標三年網上短期儲蓄保險計劃,17826,17826
2,Tahoe 目標三年網上短期儲蓄保險計劃,23948,23948
2,Tahoe 月月豐收 2,0,0
3,Blue WeSave定息儲蓄保S2,26660,26660
3,Welllink 喜盈於「息」特級儲蓄保障計劃,26027,26027
3,ChinaLife 五年期精英儲蓄保險計劃,24093,24093
3,BOC Life 目標三年網上短期儲蓄保險計劃,26793,26793
3,Tahoe 目標三年網上短期儲蓄保險計劃,24978,24978
3,Tahoe 月月豐收 2,0,0
4,Blue WeSave定息儲蓄保S2,27327,27327
4,Welllink 喜盈於「息」特級儲蓄保障計劃,27603,27603
4,ChinaLife 五年期精英儲蓄保險計劃,25209,25209
4,Tahoe 目標三年網上短期儲蓄保險計劃,26445,26445
4,Tahoe 月月豐收 2,0,0
5,Blue WeSave定息儲蓄保S2,28433,28433
5,Welllink 喜盈於「息」特級儲蓄保障計劃,29108,29108
5,ChinaLife 五年期精英儲蓄保險計劃,27601,27601
5,Tahoe 目標三年網上短期儲蓄保險計劃,29237,29237
5,Tahoe 月月豐收 2,0,0
6,Welllink 喜盈於「息」特級儲蓄保障計劃,30151,30151
7,Welllink 喜盈於「息」特級儲蓄保障計劃,31232,31232
8,Welllink 喜盈於「息」特級儲蓄保障計劃,32351,32351