Year,Name,Amount
1年,Blue WeSave定息儲蓄保S2,"$25,500.00"
1年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$24,030.00"
1年,ChinaLife 五年期精英儲蓄保險計劃,"$22,799.00"
1年,BOC Life 目標三年網上短期儲蓄保險計劃,"$20,564.00"
1年,Tahoe 目標三年網上短期儲蓄保險計劃,"$10,429.00"
1年,Tahoe 月月豐收 2,$0.00
2年,Blue WeSave定息儲蓄保S2,"$26,010.00"
2年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$24,633.00"
2年,ChinaLife 五年期精英儲蓄保險計劃,"$23,017.00"
2年,BOC Life 目標三年網上短期儲蓄保險計劃,"$17,826.00"
2年,Tahoe 目標三年網上短期儲蓄保險計劃,"$23,948.00"
2年,Tahoe 月月豐收 2,$0.00
3年,Blue WeSave定息儲蓄保S2,"$26,660.00"
3年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$26,027.00"
3年,ChinaLife 五年期精英儲蓄保險計劃,"$24,093.00"
3年,BOC Life 目標三年網上短期儲蓄保險計劃,"$26,793.00"
3年,Tahoe 目標三年網上短期儲蓄保險計劃,"$24,978.00"
3年,Tahoe 月月豐收 2,$0.00
4年,Blue WeSave定息儲蓄保S2,"$27,327.00"
4年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$27,603.00"
4年,ChinaLife 五年期精英儲蓄保險計劃,"$25,209.00"
4年,Tahoe 目標三年網上短期儲蓄保險計劃,"$26,445.00"
4年,Tahoe 月月豐收 2,$0.00
5年,Blue WeSave定息儲蓄保S2,"$28,433.00"
5年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$29,108.00"
5年,ChinaLife 五年期精英儲蓄保險計劃,"$27,601.00"
5年,Tahoe 目標三年網上短期儲蓄保險計劃,"$29,237.00"
5年,Tahoe 月月豐收 2,$0.00
6年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$30,151.00"
7年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$31,232.00"
8年,Welllink 喜盈於「息」特級儲蓄保障計劃,"$32,351.00"